ESP		EPOCA	RESP
PAT001	0		0
PAT001	2		25,71
PAT001	4		53,34
PAT001	6		80,97
PAT001	8		90,65
PAT001	12		100,34
PAT001	16		105,58
PAT001	20		110,81
PAT001	24		111,67
PAT002	0		0
PAT002	2		24,09
PAT002	4		58,43
PAT002	6		71,95
PAT002	8		85,24
PAT002	12		94,19
PAT002	16		103,10
PAT002	20		103,95
PAT002	24		104,81
PAT003	0		0
PAT003	2		25,31
PAT003	4		59,58
PAT003	6		73,48
PAT003	8		86,76
PAT003	12		95,68
PAT003	16		104,58
PAT003	20		105,43
PAT003	24		106,28
GVT001	0		0
GVT001	2		2,04
GVT001	4		15,22
GVT001	6		28,39
GVT001	8		53,27
GVT001	12		78,15
GVT001	16		91,28
GVT001	20		104,41
GVT001	24		102,26
GVT002	0		0
GVT002	2		2,09
GVT002	4		12,17
GVT002	6		29,71
GVT002	8		47,25
GVT002	12		79,63
GVT002	16		108,75
GVT002	20		106,55
GVT002	24		104,34
GVT003	0		0
GVT003	2		2,08
GVT003	4		12,25
GVT003	6		30,14
GVT003	8		48,27
GVT003	12		80,45
GVT003	16		109,48
GVT003	20		107,29
GVT003	24		105,10
GBT001	0		0
GBT001	2		5,44
GBT001	4		34,21
GBT001	6		62,98
GBT001	8		81,45
GBT001	12		99,92
GBT001	16		102,24
GBT001	20		104,56
GBT001	24		105,61
GBT002	0		0
GBT002	2		5,35
GBT002	4		21,40
GBT002	6		47,19
GBT002	8		72,98
GBT002	12		89,66
GBT002	16		106,33
GBT002	20		107,37
GBT002	24		108,40
GBT003	0		0
GBT003	2		5,30
GBT003	4		33,32
GBT003	6		61,35
GBT003	8		79,34
GBT003	12		97,33
GBT003	16		99,59
GBT003	20		101,84
GBT003	24		102,87
PVT001	0		0
PVT001	2		27,51
PVT001	4		46,54
PVT001	6		65,57
PVT001	8		71,65
PVT001	12		77,74
PVT001	16		89,14
PVT001	20		100,54
PVT001	24		104,58
PVT002	0		0
PVT002	2		27,92
PVT002	4		48,12
PVT002	6		58,13
PVT002	8		68,14
PVT002	12		81,14
PVT002	16		94,13
PVT002	20		98,23
PVT002	24		102,33
PVT003	0		0
PVT003	2		28,17
PVT003	4		47,66
PVT003	6		67,15
PVT003	8		73,38
PVT003	12		79,61
PVT003	16		91,29
PVT003	20		102,96
PVT003	24		107,09
EXT001	0		0
EXT001	2		5,81
EXT001	4		29,36
EXT001	6		52,90
EXT001	8		77,62
EXT001	12		102,34
EXT001	16		104,13
EXT001	20		105,91
EXT001	24		106,80
EXT002	0		0
EXT002	2		5,75
EXT002	4		29,00
EXT002	6		50,51
EXT002	8		72,03
EXT002	12		86,28
EXT002	16		100,53
EXT002	20		101,41
EXT002	24		102,29
EXT003	0		0
EXT003	2		5,71
EXT003	4		28,82
EXT003	6		50,20
EXT003	8		71,59
EXT003	12		85,75
EXT003	16		99,91
EXT003	20		100,79
EXT003	24		101,67
PQT001	0		0
PQT001	2		66,85
PQT001	4		81,62
PQT001	6		96,39
PQT001	8		100,48
PQT001	12		104,56
PQT001	16		106,19
PQT001	20		107,81
PQT001	24		108,21
PQT002	0		0
PQT002	2		68,38
PQT002	4		91,38
PQT002	6		96,94
PQT002	8		102,50
PQT002	12		105,20
PQT002	16		107,90
PQT002	20		108,31
PQT002	24		108,71
PQT003	0		0
PQT003	2		67,80
PQT003	4		90,60
PQT003	6		96,12
PQT003	8		101,63
PQT003	12		104,31
PQT003	16		106,99
PQT003	20		107,39
PQT003	24		107,79
